,SBBH,JCSJ,VEH_TOTAL,JB_COUNT,JP_COUNT,BLACK_COUNT,AVG_SPEED,MAX_SPEED,MIN_SPEED
0,HD001039,2015/1/16 16:15:00,253,31.0,241.0,6.0,61.04,82.0,29.0
1,HD001039,2015/1/16 16:30:00,278,37.0,261.0,10.0,61.38,83.0,45.0
2,HD001039,2015/1/16 16:45:00,288,39.0,278.0,3.0,60.5,84.0,46.0
3,HD001039,2015/1/16 17:00:00,367,64.0,351.0,7.0,51.84,74.0,8.0
4,HD001039,2015/1/16 17:15:00,309,48.0,303.0,6.0,36.78,82.0,6.0
5,HD001039,2015/1/16 17:30:00,263,36.0,248.0,9.0,56.86,86.0,34.0
6,HD001039,2015/1/16 17:45:00,303,60.0,293.0,5.0,53.86,79.0,35.0
7,HD001039,2015/1/16 18:00:00,278,54.0,260.0,5.0,55.76,77.0,32.0
8,HD001039,2015/1/16 18:15:00,218,39.0,210.0,3.0,59.38,80.0,29.0
9,HD001039,2015/1/16 18:30:00,242,51.0,236.0,4.0,55.57,88.0,36.0
10,HD001039,2015/1/16 18:45:00,204,46.0,199.0,4.0,60.13,88.0,39.0
11,HD001039,2015/1/16 19:00:00,187,31.0,178.0,8.0,58.94,90.0,36.0
12,HD001039,2015/1/16 19:15:00,192,47.0,182.0,4.0,58.05,87.0,26.0
13,HD001039,2015/1/16 19:30:00,171,36.0,165.0,8.0,59.12,85.0,7.0
14,HD001039,2015/1/16 19:45:00,203,47.0,191.0,2.0,57.22,83.0,40.0
15,HD001039,2015/1/16 20:00:00,272,70.0,259.0,4.0,57.8,80.0,39.0
16,HD001039,2015/1/16 20:15:00,207,42.0,199.0,6.0,61.12,85.0,40.0
17,HD001039,2015/1/16 20:30:00,188,41.0,180.0,4.0,59.9,105.0,44.0
18,HD001039,2015/1/16 20:45:00,202,47.0,197.0,7.0,60.25,90.0,36.0
19,HD001039,2015/1/16 21:00:00,175,43.0,168.0,4.0,61.82,87.0,17.0
20,HD001039,2015/1/16 21:15:00,150,47.0,145.0,3.0,64.07,96.0,36.0
21,HD001039,2015/1/16 21:30:00,160,39.0,149.0,3.0,61.69,91.0,42.0
22,HD001039,2015/1/16 21:45:00,152,45.0,149.0,7.0,61.89,93.0,29.0
23,HD001039,2015/1/16 14:30:00,278,80.0,265.0,4.0,63.04,89.0,35.0
24,HD001039,2015/1/16 14:45:00,230,47.0,217.0,9.0,63.49,97.0,47.0
25,HD001039,2015/1/16 15:00:00,307,78.0,295.0,11.0,52.26,91.0,20.0
26,HD001039,2015/1/16 15:15:00,382,103.0,360.0,6.0,36.73,74.0,13.0
27,HD001039,2015/1/16 15:30:00,342,63.0,325.0,12.0,41.58,82.0,16.0
28,HD001039,2015/1/16 15:45:00,267,66.0,254.0,4.0,62.8,85.0,36.0
29,HD001039,2015/1/16 16:00:00,264,70.0,255.0,6.0,60.12,83.0,40.0
30,HD001039,2015/1/17 1:30:00,134,69.0,124.0,3.0,69.07,103.0,44.0
31,HD001039,2015/1/17 1:45:00,127,59.0,121.0,3.0,68.1,95.0,41.0
32,HD001039,2015/1/17 2:00:00,107,45.0,99.0,4.0,65.27,102.0,6.0
33,HD001039,2015/1/17 2:15:00,59,23.0,54.0,3.0,68.36,100.0,38.0
34,HD001039,2015/1/17 2:30:00,33,8.0,33.0,0.0,62.7,94.0,40.0
35,HD001039,2015/1/17 2:45:00,39,13.0,39.0,2.0,65.69,105.0,44.0
36,HD001039,2015/1/17 3:00:00,20,4.0,18.0,1.0,58.05,72.0,43.0
37,HD001039,2015/1/17 3:15:00,41,13.0,39.0,5.0,64.56,88.0,45.0
38,HD001039,2015/1/17 3:30:00,38,16.0,35.0,1.0,68.55,108.0,45.0
39,HD001039,2015/1/17 3:45:00,33,12.0,30.0,2.0,61.97,87.0,41.0
40,HD001039,2015/1/17 4:00:00,29,13.0,28.0,0.0,60.93,86.0,41.0
41,HD001039,2015/1/17 4:15:00,41,21.0,39.0,3.0,64.59,79.0,45.0
42,HD001039,2015/1/17 4:30:00,46,22.0,42.0,0.0,61.09,91.0,41.0
43,HD001039,2015/1/17 11:00:00,243,66.0,230.0,5.0,64.85,88.0,43.0
44,HD001039,2015/1/17 11:15:00,229,59.0,218.0,7.0,66.53,97.0,34.0
